case_id,stored_dept,corrected_dept,confidence,county_dept,panel_dept,panel_used
2307855,,1,MED,1,,0
2309509,,2,MED,2,,0
2309518,,2,MED,2,,0
2309527,,1,MED,1,,0
2309539,,2,MED,2,,0
2309554,,3,MED,3,,0
2309555,,1,MED,1,,0
2309582,,1,MED,1,,0
2309620,,4,MED,4,,0
2309621,,2,MED,2,,0
2309624,,2,MED,2,,0
2309644,,1,MED,1,,0
2309651,,4,MED,4,,0
2309673,,1,MED,1,,0
2309677,,1,MED,1,,0
2309678,,2,MED,2,,0
2309693,,1,MED,1,,0
2309713,,1,MED,1,,0
2309728,,1,MED,1,,0
2309735,,3,MED,3,,0
2309835,,1,MED,1,,0
2309851,,2,MED,2,,0
2311780,,4,MED,4,,0
2311786,,2,MED,2,,0
2311789,,2,MED,2,,0
2311794,,1,MED,1,,0
2311808,,2,MED,2,,0
2311844,,2,MED,2,,0
2311862,,1,MED,1,,0
2311908,,2,MED,2,,0
2311913,,1,MED,1,,0
2311938,,1,MED,1,,0
2311940,,3,MED,3,,0
2312019,,1,MED,1,,0
2312022,,2,MED,2,,0
2312076,,1,MED,1,,0
2312141,,1,MED,1,,0
2312161,,3,MED,3,,0
2314319,,3,MED,3,,0
2314323,,3,MED,3,,0
2314339,,2,MED,2,,0
2314362,,2,MED,2,,0
2314367,,1,MED,1,,0
2314372,,2,MED,2,,0
2314374,,4,MED,4,,0
2314381,,2,MED,2,,0
2314383,,1,MED,1,,0
2314404,,1,MED,1,,0
2314408,,2,MED,2,,0
2314411,,2,MED,2,,0
2314418,,1,MED,1,,0
2314425,,4,MED,4,,0
2314426,,3,MED,3,,0
2314442,,1,MED,1,,0
2314478,,4,MED,4,,0
2314491,,3,MED,3,,0
2314553,,1,MED,1,,0
2314585,,2,MED,2,,0
2314645,,2,MED,2,,0
2314675,,2,MED,2,,0
2316926,,2,MED,2,,0
2316935,,1,MED,1,,0
2316951,,1,MED,1,,0
2317050,,4,MED,4,,0
2317056,,2,MED,2,,0
2317097,,4,MED,4,,0
2317113,,1,MED,1,,0
2317118,,1,MED,1,,0
2317131,,2,MED,2,,0
2317166,,1,MED,1,,0
2317205,,1,MED,1,,0
2317237,,1,MED,1,,0
2317245,,1,MED,1,,0
2317248,,1,MED,1,,0
2317249,,2,MED,2,,0
2319029,,1,MED,1,,0
2319040,,2,MED,2,,0
2319048,,2,MED,2,,0
2319054,,2,MED,2,,0
2319081,,2,MED,2,,0
2319103,,4,MED,4,,0
2319113,,4,MED,4,,0
2319122,,2,MED,2,,0
2319131,,3,MED,3,,0
2319160,,3,MED,3,,0
2319165,,2,MED,2,,0
2319167,,2,MED,2,,0
2319202,,1,MED,1,,0
2319211,,1,MED,1,,0
2319244,,2,MED,2,,0
2321363,,2,MED,2,,0
2321365,,2,MED,2,,0
2321369,,1,MED,1,,0
2321370,,2,MED,2,,0
2321371,,4,MED,4,,0
2321372,,2,MED,2,,0
2321376,,3,MED,3,,0
2321378,,1,MED,1,,0
2321381,,4,MED,4,,0
2321397,,2,MED,2,,0
2321414,,2,MED,2,,0
2321419,,2,MED,2,,0
2321425,,2,MED,2,,0
2321428,,1,MED,1,,0
2321436,,4,MED,4,,0
2321444,,1,MED,1,,0
2321450,,1,MED,1,,0
2321451,,1,MED,1,,0
2321455,,2,MED,2,,0
2321465,,1,MED,1,,0
2321476,,2,MED,2,,0
2321527,,3,MED,3,,0
2321529,,2,MED,2,,0
2321531,,2,MED,2,,0
2321544,,1,MED,1,,0
2321614,,3,MED,3,,0
2321628,,1,MED,1,,0
2321668,,2,MED,2,,0
2323759,,2,MED,2,,0
2323797,,2,MED,2,,0
2323834,,2,MED,2,,0
2323864,,2,MED,2,,0
2323879,,2,MED,2,,0
2323922,,2,MED,2,,0
2323933,,4,MED,4,,0
2323946,,1,MED,1,,0
2323966,,2,MED,2,,0
2323992,,1,MED,1,,0
2324036,,2,MED,2,,0
2324041,,1,MED,1,,0
2324138,,2,MED,2,,0
2324140,,3,MED,3,,0
2324180,,2,MED,2,,0
2324185,,2,MED,2,,0
2324285,,1,MED,1,,0
2324294,,2,MED,2,,0
2324296,,2,MED,2,,0
2324301,,2,MED,2,,0
2326302,,2,MED,2,,0
2326313,,2,MED,2,,0
2326321,,2,MED,2,,0
2326323,,4,MED,4,,0
2326324,,2,MED,2,,0
2326328,,2,MED,2,,0
2326329,,4,MED,4,,0
2326342,,2,MED,2,,0
2326343,,2,MED,2,,0
2326349,,2,MED,2,,0
2326370,,1,MED,1,,0
2326374,,2,MED,2,,0
2326400,,2,MED,2,,0
2326409,,3,MED,3,,0
2326417,,4,MED,4,,0
2326443,,2,MED,2,,0
2326460,,2,MED,2,,0
2326479,,2,MED,2,,0
2326524,,1,MED,1,,0
2326529,,1,MED,1,,0
2326537,,1,MED,1,,0
2326547,,1,MED,1,,0
2326554,,2,MED,2,,0
2326562,,2,MED,2,,0
2326569,,3,MED,3,,0
2326571,,1,MED,1,,0
2326594,,1,MED,1,,0
2329211,,2,MED,2,,0
2329212,,2,MED,2,,0
2329219,,2,MED,2,,0
2329223,,1,MED,1,,0
2329233,,2,MED,2,,0
2329236,,1,MED,1,,0
2329254,,4,MED,4,,0
2329257,,2,MED,2,,0
2329261,,2,MED,2,,0
2329277,,1,MED,1,,0
2329290,,1,MED,1,,0
2329292,,4,MED,4,,0
2329303,,2,MED,2,,0
2329312,,1,MED,1,,0
2329314,,1,MED,1,,0
2329331,,1,MED,1,,0
2329334,,3,MED,3,,0
2329342,,2,MED,2,,0
2329345,,1,MED,1,,0
2329360,,4,MED,4,,0
2329378,,3,MED,3,,0
2329379,,2,MED,2,,0
2329401,,2,MED,2,,0
2329404,,3,MED,3,,0
2329415,,1,MED,1,,0
2329428,,2,MED,2,,0
2329429,,3,MED,3,,0
2329436,,1,MED,1,,0
2329440,,3,MED,3,,0
2329459,,3,MED,3,,0
2329475,,2,MED,2,,0
2329498,,2,MED,2,,0
2329533,,2,MED,2,,0
2331358,,1,MED,1,,0
2331360,,3,MED,3,,0
2331363,,2,MED,2,,0
2331380,,3,MED,3,,0
2331392,,4,MED,4,,0
2331399,,1,MED,1,,0
2331416,,1,MED,1,,0
2331439,,4,MED,4,,0
2331441,,1,MED,1,,0
2331464,,3,MED,3,,0
2331469,,4,MED,4,,0
2331475,,2,MED,2,,0
2331482,,2,MED,2,,0
2331485,,4,MED,4,,0
2331494,,1,MED,1,,0
2331507,,1,MED,1,,0
2331531,,3,MED,3,,0
2331536,,1,MED,1,,0
2331537,,2,MED,2,,0
2331558,,4,MED,4,,0
2331589,,2,MED,2,,0
2331590,,2,MED,2,,0
2331611,,3,MED,3,,0
2331618,,4,MED,4,,0
